name,city,type,beerCounts,established
 Mount Tallac Brewing Company,South Lake Tahoe_California_closed,Microbrewery,5,2003
 Murrieta Pizza & Brewing Company,Murrieta_California_closed,Brewpub,8,2004
 Mutt & Jess Bakery - Deli - Brewery,Cobb_California_closed,Brewpub,4,2015
 Napa Point Brewing,Napa_California_closed,Microbrewery,12,2013
 Nevada City Brewing,Nevada City_California_closed,Microbrewery,1,1986
 Nibble Bit Tabby Brewery,Los Angeles_California_closed,Microbrewery,2,2010
 North Star Craft Brewery,Shasta Lake_California_closed,Microbrewery,6,2007
 O'Sullivan Brothers Brewing,San Diego_California_closed,Microbrewery,17,2014
 Ocean Avenue Brewing Co.,Laguna Beach_California_closed,Brewpub,19,2003
 Offbeat Brewing Company,Escondido_California_closed,Microbrewery,24,2012
 Ojai Brew Pub,Ojai_California_closed,Brewpub,5,2002
 Ol' Republic Brewery,Nevada City_California_closed,Microbrewery,49,2011
 Old Baldy Brewing Company,Upland_California_closed,Brewpub,8,2003
 Old Bus Tavern,San Francisco_California_closed,Brewpub,16,2015
 Old River Brew Company,Bakersfield _California_closed,Microbrewery,5,2003
 On Tap! Bistro & Brewery,San Diego_California_closed,Brewpub,16,2001
 On The Tracks Brewery,Carlsbad_California_closed,Microbrewery,49,2011
 Orcutt Brew Company,Orcutt_California_closed,Brewpub/Brewery,2,2010
 Pac City Brewery,Pacoima_California_closed,Microbrewery,4,2014
 Pacific Coast Brewing,Oakland_California_closed,Brewpub,56,2001
 Pacific Hop Exchange,Novato_California_closed,Brewpub,1,2003
 Petaluma Hills Brewing Co.,Petaluma_California_closed,Microbrewery,11,2013
 PH Woods Bar-B-Que & Brewery,Moreno Valley_California_closed,Brewpub,17,2002
 Plow Brewing Company (Divine Brewing),Santa Rosa_California_closed,Microbrewery,16,2011
 Pompeii Brewing Company,Los Gatos_California_closed,Microbrewery,4,2006
 Potrero Brewing Company,San Francisco_California_closed,Brewpub,7,2000
 Rafters Grille & Brewery,San Rafael_California_closed,Brewpub,1,2004
 Rascal Creek Brewing Company,Merced_California_closed,Brewpub,11,2005
 RAXX BBQ and Brewery,Riverside_California_closed,Brewpub/Brewery,16,2007
 Redondo Beach Brewing Company,Redondo Beach_California_closed,Brewpub,14,1993
" Riverside Brewing Company (CA, USA)",Riverside_California_closed,Microbrewery,17,1993
 Rock Bottom Irvine,Irvine_California_closed,Brewpub,4,2004
 Rock Bottom San Diego,San Diego_California_closed,Brewpub,41,2004
 Rosen Brewery & Restaurant,Los Angeles_California_closed,Brewpub,5,2003
 Roseville Brewing Company,Roseville_California_closed,Microbrewery,11,2012
 Ross Valley Brewing Company,Fairfax_California_closed,Brewpub,7,1999
 Rubicon Brewing Company,Sacramento_California_closed,Brewpub,80,1996
 Sacramento Brewing Company,Sacramento_California_closed,Microbrewery,40,1995
 Saddleback Brewery,Rancho Santa Margarita_California_closed,Microbrewery,1,2004
 San Andreas Brewing,Hollister_California_closed,Brewpub,2,1988
 San Francisco Brewing Company,San Francisco_California_closed,Brewpub/Brewery,42,1997
 San Rafael Brewing Co.,Norvato_California_closed,Microbrewery,1,2002
 Santa Clara Valley Brewing,San Jose_California_closed,Microbrewery,39,2013
 Santa Fe Hops Brewhouse,Santa Fe Springs_California_closed,Microbrewery,1,1999
 Santa Monica Distillery / Excalibur Brewing,Santa Paula_California_closed,Microbrewery,1,2004
 Schooners Grille & Brewery,Antioch_California_closed,Brewpub/Brewery,37,2003
 Schubros Brewery,San Ramon_California_closed,Microbrewery,43,2012
 Sebastopol Brewing Company,Sebastopol_California_closed,Brewpub,6,2006
 Seven Brethren Brewery,Riverside_California_closed,Client Brewer,13,2014
 Shark Attack Brewing,Agoura Hills_California_closed,Client Brewer,1,2005
 Sierra Madre Brewing Co.,Sierra Madre_California_closed,Microbrewery,2,1997
 Silverado Brewing Co.,St. Helena_California_closed,Brewpub,20,2002
 Snack Xp,San Diego_California_closed,Client Brewer,2,2005
 Social Kitchen & Brewery,San Francisco_California_closed,Brewpub,89,2010
 Sonoma Mountain Brewery,Glen Ellen_California_closed,Microbrewery,2,1997
 Southern California Brewing Co.,Torrance_California_closed,Microbrewery,10,1998
 SpecHops Brewing,Vista_California_closed,Microbrewery,7,2017
 Stoddards Brewhouse,Sunnyvale_California_closed,Brewpub,8,1993
 Taylors Restaurant & Brewery,San Diego_California_closed,Brewpub,9,2002
 Temecula Brewing Company,Temecula_California_closed,Brewpub,4,1999
 Temecula Valley Beer and Ale Works,Temecula_California_closed,Microbrewery,1,2002
 The Beer Company,San Diego_California_closed,Brewpub/Brewery,40,2010
 The Big Cheese Pizza Co. and Brewery,Riverside_California_closed,Brewpub,16,2010
 The Growler Craft Brewery,Murphys_California_closed,Brewpub,6,2011
 The Powerhouse Brewing Co. (USA),Sebastopol _California_closed,Microbrewery,10,1996
 Toolbox Brewing Company,Vista_California_closed,Microbrewery,117,2014
 Truckee Brewing Co./Pizza Junction,Truckee_California_closed,Microbrewery,7,1883
 Tuscan Brewing Company,Red Bluff_California_closed,Microbrewery,2,2001
 Twelve Rounds Brewing Company,Sacramento_California_closed,Brewpub,22,2015
 Twenty Tank Brewery,San Francisco_California_closed,Microbrewery,6,1990
 Twisted Manzanita Ales,Santee_California_closed,Microbrewery,36,2010
 Undertaker Brewing Company,San Jose_California_closed,Microbrewery,2,2012
 Union Cattle Company,Hermosa Beach_California_closed,Brewpub,4,2009
 Urbn Street Brewing Company,El Cajon_California_closed,Brewpub/Brewery,21,2014
 Valley Brewing Company,Stockton_California_closed,Microbrewery,100,1994
 Valley Center Brewery,Valley Center_California_closed,Microbrewery,43,2014
 Warped Brewing Company,Sebastopol_California_closed,Microbrewery,9,2013
 Western Pacific Brewing Co.,Oroville_California_closed,Brewpub,12,2010
 Whale Gulch Brewery,Whitethorn_California_closed,Microbrewery,6,2006
 Wild Donkey Brewing Company,Redlands_California_closed,Microbrewery,21,2012
 William & Scott Co.,Huntington Beach_California_closed,Microbrewery,1,2001
 Wizard Brewing,San Leandro_California_closed,Microbrewery,1,2001
 Wunder Brewing Company,San Francisco_California_closed,Brewpub,8,2007
 105 West Brewing Company,Castle Rock_Colorado_opened,Microbrewery,61,2015
 12 Degree Brewing,Louisville_Colorado_opened,Brewpub,61,2013
 14er Brewing Company,Denver_Colorado_opened,Microbrewery,27,2016
 3 Freaks Brewery,Highlands Ranch_Colorado_opened,Microbrewery,25,2014
 300 Suns Brewing, Longmont_Colorado_opened,Microbrewery,25,2013
 4 Noses Brewing Company,Broomfield_Colorado_opened,Microbrewery,171,2014
 6 and 40 Brewery,Lakewood_Colorado_opened,Microbrewery,14,2020
 7 Hermits Brewing Company,Eagle_Colorado_opened,Microbrewery,13,2014
 Adamant Brewing and Blending,Boulder_Colorado_opened,Microbrewery,5,2019
 Alpine Dog Brewery,Denver_Colorado_opened,Microbrewery,64,2014
 Alternation Brewing Company,Denver_Colorado_opened,Microbrewery,24,2017
 Altitude Brewing & Supply,Denver_Colorado_opened,Microbrewery,6,2020
 Amalgam Brewing,Denver_Colorado_opened,Microbrewery,14,2016
 Amicas Pizza & Microbrew,Salida_Colorado_opened,Client Brewer,64,2003
 Angry James Brewery,Silverthorne_Colorado_opened,Microbrewery,21,2018
 Animas Brewing Company,Durango_Colorado_opened,Brewpub/Brewery,11,2014
 Asher Brewing Company,Boulder_Colorado_opened,Microbrewery,32,2009
 Aspen Brewing Company (Legacy Breweries),Aspen_Colorado_opened,Microbrewery,29,2008
 Atom Brewing Company,Erie_Colorado_opened,Microbrewery,21,2016
 Atrevida Beer Company,Colorado Springs_Colorado_opened,Microbrewery,25,2018
 Avalanche  Brewing Company (USA),Silverton_Colorado_opened,Brewpub/Brewery,11,2014
 Avant Garde Aleworks,Estes Park_Colorado_opened,Microbrewery,7,2019
 Avery Brewing Company (Mahou San Miguel),Boulder_Colorado_opened,Commercial Brewery,438,1993
 Baere Brewing Company,Denver_Colorado_opened,Microbrewery,232,2014
 Banded Oak Brewing Company,Denver_Colorado_opened,Microbrewery,31,2016
 Barnett & Son Brewing Company,Parker_Colorado_opened,Microbrewery,20,2016
 Barquentine Brewing Company,Edgewater_Colorado_opened,Microbrewery,13,2020
 Barrels and Bottles Brewery,Golden_Colorado_opened,Brewpub/Brewery,66,2013
 Bent Barley Brewing Company,Aurora_Colorado_opened,Microbrewery,13,2018
 Berthoud Brewing Company,Berthoud_Colorado_opened,Microbrewery,25,2014
 Beyond the Mountain Brewing Company,Boulder_Colorado_opened,Commercial Brewery,13,2018
 Bierstadt Lagerhaus,Denver_Colorado_opened,Microbrewery,27,2016
 BierWerks,Woodland Park_Colorado_opened,Brewpub,28,2010
 Big Beaver Brewing Company,Loveland_Colorado_opened,Microbrewery,48,2011
 Big Choice Brewing,Broomfield_Colorado_opened,Brewpub/Brewery,42,2012
 Big Thompson Brewery,Loveland_Colorado_opened,Microbrewery,30,2015
 Big Trout Brewing,Winter Park_Colorado_opened,Brewpub/Brewery,6,2020
 Black Bottle Brewery,Fort Collins_Colorado_opened,Brewpub,190,2012
 Black Forest Brewing Company,Colorado Springs_Colorado_opened,Microbrewery,33,2018
 Black Project Spontaneous & Wild Ales,Denver_Colorado_opened,Microbrewery,204,2017
 Black Shirt Brewing Company,Denver_Colorado_opened,Brewpub,87,2012
 Black Sky Brewery,Denver_Colorado_opened,Brewpub,96,2013
 Blue Moon Brewing Company (Molson Coors),Denver_Colorado_opened,Commercial Brewery,306,2016
 Blue Spruce Brewing Company,Centennial_Colorado_opened,Brewpub/Brewery,34,2014
 Blue Tile Brewing,Denver_Colorado_opened,Microbrewery,24,2018
 Boggy Draw Brewery,Sheridan_Colorado_opened,Microbrewery,37,2015
 Bonfire Brewing,Eagle_Colorado_opened,Brewpub,82,2010
 Bootstrap Brewing,Niwot_Colorado_opened,Microbrewery,28,2012
 Bottom Shelf Brewery,Bayfield_Colorado_opened,Brewpub,20,2017
 Boulder Beer Company,Boulder_Colorado_opened,Brewpub/Brewery,191,1979
 Brass Brewing Company,Colorado Springs_Colorado_opened,Microbrewery,34,2018
 Breckenridge Brewery (AB InBev),Denver_Colorado_opened,Microbrewery,209,1990
 Brewability Lab,Denver_Colorado_opened,Microbrewery,15,2017
 Brewery Rickoli,Wheat Ridge_Colorado_opened,Brewpub/Brewery,48,2012
 Briar Common Brewery + Eatery,Denver_Colorado_opened,Microbrewery,28,2016
 Bristol Brewing Company,Colorado Springs_Colorado_opened,Brewpub/Brewery,88,1998
 Brix Taphouse & Brewery,Greeley_Colorado_opened,Brewpub,10,2017
 Broken Compass Brewing Company,Breckenridge_Colorado_opened,Microbrewery,53,2014
 Broken Plow Brewing Company,Greeley_Colorado_opened,Brewpub,19,2014
 BRU Handbuilt Ales,Boulder_Colorado_opened,Microbrewery,39,2012
 Brues Alehouse Brewing Company,Pueblo_Colorado_opened,Brewpub/Brewery,11,2015
 Bruz Beers,Denver_Colorado_opened,Microbrewery,58,2016
 Bull & Bush Brewery,Denver_Colorado_opened,Brewpub/Brewery,161,1997
 Burgundian Brewing,Denver_Colorado_opened,Microbrewery,4,2017
 BURLY Brewing Company,Castle Rock_Colorado_opened,Microbrewery,44,2018
 Burns Family Artisan Ales,Denver_Colorado_opened,Microbrewery,79,2018
 Busey Brews,Nederland_Colorado_opened,Microbrewery,6,2020
 Butcherknife Brewing Company,Steamboat Springs_Colorado_opened,Microbrewery,28,2014
 C.B. & Potts (Ram International),Broomfield_Colorado_opened,Brewpub/Brewery,29,2013
 Cabin Creek Brewing,Georgetown_Colorado_opened,Brewpub/Brewery,14,2020
 Call to Arms Brewing Company,Denver_Colorado_opened,Microbrewery,207,2014
 Camber Brewing Company,Fraser_Colorado_opened,Microbrewery,11,2019
 Cannonball Creek Brewing Company,Golden_Colorado_opened,Brewpub/Brewery,84,2013
 Capitol Creek Brewery,Basalt_Colorado_opened,Brewpub/Brewery,10,2017
 Carbondale Beer Works,Carbondale_Colorado_opened,Brewpub,19,2011
 Carver Brewing Company,Durango_Colorado_opened,Brewpub,45,2003
 Casey Brewing and Blending,Glenwood Springs_Colorado_opened,Microbrewery,269,2014
 Catch 22 Brewing,Centennial_Colorado_opened,Client Brewer,4,2018
 Cellar West Artisan Ales,Boulder_Colorado_opened,Microbrewery,48,2016
 Centennial Beer Company,Fort Collins_Colorado_opened,Client Brewer,2,2013
 Cerberus Brewing Company,Colorado Springs_Colorado_opened,Brewpub,47,2016
 Cerebral Brewing,Denver_Colorado_opened,Microbrewery,270,2015
 CERIA Brewing Company,Arvada_Colorado_opened,Client Brewer,4,2019
 Cervecería Colorado,Denver_Colorado_opened,Microbrewery,16,2018
 Chain Reaction Brewing Company,Denver_Colorado_opened,Microbrewery,81,2014
 Chainless Brewing,Durango_Colorado_opened,Brewpub/Brewery,1,2019
 Cheluna Brewing Company,Aurora_Colorado_opened,Brewpub,30,2016
 ChopHouse & Brewery Denver (Craftworks),Denver_Colorado_opened,Brewpub,40,2000
 Chrysalis Barrel Aged Beer,Paonia_Colorado_opened,Microbrewery,1,2020
 City Star Brewing,Berthoud_Colorado_opened,Microbrewery,50,2012
 Coal Mine Ave Brewing Company,Littleton_Colorado_opened,Microbrewery,16,2018
 Coda Brewing Company,Golden_Colorado_opened,Microbrewery,30,2016
 Cogstone Brewing Company,Colorado Springs_Colorado_opened,Brewpub,22,2016
 Collision Brewing Company,Longmont_Colorado_opened,Brewpub/Brewery,19,2019
 Colorado Boy Pizzeria & Brewery,Montrose_Colorado_opened,Brewpub,21,2009
 Colorado Mountain Brewery,Colorado Springs_Colorado_opened,Brewpub,23,2009
 Colorado Plus,Wheatridge_Colorado_opened,Brewpub,167,2013
 Comrade Brewing Company,Denver_Colorado_opened,Microbrewery,173,2014
 CooperSmiths Pub & Brewing,Fort Collins_Colorado_opened,Brewpub,115,1989
 Coors Brewing Company (Molson Coors),Golden_Colorado_opened,Commercial Brewery,110,1873
 Copper Club Brewing,Fruita_Colorado_opened,Microbrewery,15,2013
 Copper Kettle Brewing (CO),Denver_Colorado_opened,Microbrewery,207,2011
 Counter Culture Brewery + Grille,Denver_Colorado_opened,Brewpub,10,2019
 Crabtree Brewing Company,Greeley_Colorado_opened,Microbrewery,72,2006
 Crafty Canary Brewery,Walsenburg_Colorado_opened,Microbrewery,1,2018
 Crazy Mountain Brewing Company,Denver_Colorado_opened,Microbrewery,128,2015
 Crestone Brewing Co.,Crestone_Colorado_opened,Brewpub/Brewery,9,2016
 Crooked Stave,Denver_Colorado_opened,Microbrewery,356,2011
 Crow Hop Brewery,Loveland_Colorado_opened,Microbrewery,22,2013
 Crystal Springs Brewing Company,Louisville_Colorado_opened,Microbrewery,43,2010
 DC Oakes Brewhouse & Eatery,Fort Collins_Colorado_opened,Brewpub/Brewery,11,2017
 De Steeg Brewing,Denver_Colorado_opened,Microbrewery,146,2013
 Dead Hippie Brewing,Sheridan_Colorado_opened,Microbrewery,33,2016
 Denver Beer Company,Denver_Colorado_opened,Microbrewery,381,2011
 Diebolt Brewing Company,Denver_Colorado_opened,Microbrewery,133,2013
 Dillon Dam Brewery & Restaurant,Dillon_Colorado_opened,Brewpub/Brewery,67,1996
 Dive Bar Brewing Company,Denver_Colorado_opened,Client Brewer,1,2018
 Dolores River Brewery,Dolores_Colorado_opened,Brewpub,6,2006
 Dos Luces Brewery,Denver_Colorado_opened,Microbrewery,11,2019
 Dostal Alley Casino & Brew Pub,Central City_Colorado_opened,Brewpub,15,2002
 Drätz Brewing Company,Loveland_Colorado_opened,Microbrewery,2,2018
 Dry Dock Brewing Company,Aurora_Colorado_opened,Brewpub/Brewery,278,2005
 Dueces Wild Brewery,Colorado Springs_Colorado_opened,Microbrewery,16,2018
 Durango Brewing Company,Durango_Colorado_opened,Microbrewery,21,2002
 Echo Brewing Company,Erie_Colorado_opened,Brewpub/Brewery,37,2012
 Eddyline Brewery (CO),Buena Vista_Colorado_opened,Brewpub/Brewery,35,2009
 El Rancho Brewing Company,Evergreen_Colorado_opened,Brewpub/Brewery,58,2015
 Elevation Beer Company,Poncha Springs_Colorado_opened,Microbrewery,74,2012
 Elk Avenue Brewing Co. at the Eldo Brew Pub,Crested Butte_Colorado_opened,Brewpub,33,2005
 Elk Mountain Brewing Company,Parker_Colorado_opened,Microbrewery,49,2010
 Endo Brewing Company,Lafayette_Colorado_opened,Microbrewery,36,2017
 Envy Brewing,Fort Collins_Colorado_opened,Brewpub/Brewery,14,2019
 Equinox Brewing,Fort Collins_Colorado_opened,Microbrewery,175,2010
 Estes Park Brewery,Estes Park_Colorado_opened,Microbrewery,36,1994
 Evergreen Tap House & Brewery,Evergreen_Colorado_opened,Brewpub/Brewery,27,2017
 Factotum Brewhouse,Denver_Colorado_opened,Microbrewery,61,2015
 FH Beerworks,Colorado Springs_Colorado_opened,Microbrewery,43,2014
 Fiction Beer Company,Denver_Colorado_opened,Microbrewery,123,2014
 Finkel and Garf Brewing,Boulder_Colorado_opened,Brewpub,63,2014
 Floodstage Ale Works,Brighton_Colorado_opened,Brewpub,6,2011
 Florence Brewing Company,Florence_Colorado_opened,Microbrewery,14,2016
 FlyteCo Brewing,Denver_Colorado_opened,Microbrewery,31,2019
 Fossil Craft Beer Company,Colorado Springs_Colorado_opened,Microbrewery,31,2014
 Fraser River Beer Company,Fraser_Colorado_opened,Microbrewery,14,2019
 Frolic Brewing Company,Westminster_Colorado_opened,Brewpub/Brewery,29,2018
 Front Range Brewing Company,Lafayette_Colorado_opened,Microbrewery,38,2013
 Funkwerks,Fort Collins_Colorado_opened,Microbrewery,159,2009
 Funky Town Brewery,Florissant_Colorado_opened,Brewpub,18,2019
 G5 Brew Pub,Severance_Colorado_opened,Brewpub,2,2018
 Gemini Beer Company,Boulder_Colorado_opened,Client Brewer,10,2015
 Gilded Goat Brewing Company,Fort Collins_Colorado_opened,Microbrewery,45,2017
 Glenwood Canyon Brewing Company,Glenwood Springs_Colorado_opened,Brewpub,50,1996
 Goat Patch Brewing Company,Colorado Springs_Colorado_opened,Microbrewery,31,2017
 Gold Buckle Beer,La Junta_Colorado_opened,Microbrewery,1,2020
 Gold Camp Brewing Company,Colorado Springs_Colorado_opened,Microbrewery,74,2015
 Golden Block Brewery,Silverton_Colorado_opened,Brewpub,12,2016
 Golden City Brewery,Golden_Colorado_opened,Brewpub,84,1993
 Goldspot Brewing Company,Denver_Colorado_opened,Microbrewery,138,2015
 Good River Beer,Denver_Colorado_opened,Microbrewery,21,2015
 Gore Range Brewery,Edwards_Colorado_opened,Brewpub,30,1997
 Grand Adventure Brewing Co.,Kremmling_Colorado_opened,Brewpub/Brewery,3,2019
 Grandma's House,Denver_Colorado_opened,Microbrewery,61,2014
 Gravity Brewing,Louisville_Colorado_opened,Microbrewery,62,2012
 Great Divide Brewing Company,Denver_Colorado_opened,Microbrewery,251,1993
 Great Frontier Brewing Company,Lakewood_Colorado_opened,Microbrewery,31,2015
 Green Earth Brewing Company,Greeley_Colorado_opened,Microbrewery,12,2017
 Green Mountain Beer Company,Lakewood_Colorado_opened,Microbrewery,69,2016
 Grimm Brothers Brewhouse,Loveland_Colorado_opened,Microbrewery,118,2010
 Grist Brewing Company,Highlands Ranch_Colorado_opened,Microbrewery,62,2014
 Großen Bart Brewery,Longmont_Colorado_opened,Brewpub,54,2015
 Grüvi,Denver_Colorado_opened,Client Brewer,7,2019
 Guanella Pass Brewing Company,Georgetown_Colorado_opened,Microbrewery,22,2017
 Gunbarrel Brewing Company,Boulder_Colorado_opened,Microbrewery,28,2015
 Halfpenny Brewing Company,Centennial_Colorado_opened,Microbrewery,25,2016
 Hideaway Park Brewery,Winter Park_Colorado_opened,Microbrewery,20,2015
 High Alpine Brewing Company,Gunnison_Colorado_opened,Brewpub,19,2016
 High Hops Brewery,Windsor_Colorado_opened,Microbrewery,80,2012
 HighSide Brewing,Frisco_Colorado_opened,Brewpub/Brewery,17,2018
 Hogshead Brewery,Denver_Colorado_opened,Microbrewery,114,2012
 Holidaily Brewing Company,Golden_Colorado_opened,Microbrewery,23,2016
 Hoplark HopTea,Boulder_Colorado_opened,Brewpub/Brewery,3,2019
 Horse & Dragon Brewing Company,Fort Collins_Colorado_opened,Brewpub/Brewery,91,2014
 Horsefly Brewing Company,Montrose_Colorado_opened,Microbrewery,21,2009
 Idylwilde Brewing Company,Carbondale_Colorado_opened,Microbrewery,7,2017
 Industrial Revolution Brewing,Erie_Colorado_opened,Brewpub/Brewery,30,2013
 Intersect Brewing,Fort Collins_Colorado_opened,Microbrewery,33,2016
 Iron Mule Brewery,Castle Rock_Colorado_opened,Microbrewery,21,2018
 Irwin Brewing Company,Crested Butte_Colorado_opened,Microbrewery,8,2017
 J. Fargos Family Dining & Microbrewery,Cortez_Colorado_opened,Brewpub,8,2009
 J. Moe's Brew Pub,Denver_Colorado_opened,Microbrewery,22,2014
 Jackass Hill Brewery,Littleton_Colorado_opened,Microbrewery,16,2019
 Jagged Mountain Craft Brewery,Denver_Colorado_opened,Microbrewery,151,2013
 JAKs Brewing Company,Peyton_Colorado_opened,Microbrewery,23,2015
 James Peak Brewery & Smokehouse,Nederland_Colorado_opened,Brewpub/Brewery,9,2017
 Jessup Farm Barrel House,Fort Collins_Colorado_opened,Microbrewery,81,2016
 Joyride Brewing Company,Edgewater_Colorado_opened,Microbrewery,229,2014
 Kannah Creek Brewing Company,Grand Junction_Colorado_opened,Brewpub/Brewery,51,2005
 Kettle and Spoke Brewery,Boulder_Colorado_opened,Microbrewery,15,2016
 Knotted Root Brewing Company,Nederland_Colorado_opened,Microbrewery,50,2019
 Kokopelli Beer Company,Westminster_Colorado_opened,Microbrewery,150,2013
 Lady Justice Brewing,Mountain View_Colorado_opened,Microbrewery,13,2017
 Lake City Brewing Company,Lake City_Colorado_opened,Microbrewery,14,2018
 LandLocked Ales,Lakewood_Colorado_opened,Microbrewery,39,2017
 Lariat Lodge Brewing Company,Evergreen_Colorado_opened,Microbrewery,35,2015
 Larimer Beer Company,Denver_Colorado_opened,Client Brewer,6,2017
 Launch Pad Brewery,Aurora_Colorado_opened,Brewpub,114,2015
 Left Hand Brewing Company,Longmont_Colorado_opened,Microbrewery,162,1993
 Liquid Mechanics Brewing Company,Lafayette_Colorado_opened,Brewpub,113,2014
 Little Machine Beer,Denver_Colorado_opened,Microbrewery,121,2015
 Living The Dream Brewing Company,Littleton_Colorado_opened,Microbrewery,55,2014
 Local Relic Artisan Ales,Colorado Springs_Colorado_opened,Microbrewery,127,2016
 Locavore Beer Works,Littleton_Colorado_opened,Brewpub/Brewery,71,2014
 Lone Tree Brewing Company,Lone Tree_Colorado_opened,Brewpub/Brewery,100,2011
 Lonesome Buck Brewing Company,Greeley_Colorado_opened,Brewpub/Brewery,4,2019
 Long Table Brewhouse,Denver_Colorado_opened,Commercial Brewery,18,2018
 Los Dos Potrillos Mexican Restaurant y Cerveceria,Parker_Colorado_opened,Brewpub/Brewery,10,2019
 Lost Friend Brewing Company,Colorado Springs_Colorado_opened,Microbrewery,13,2019
 Loveland Aleworks,Loveland_Colorado_opened,Microbrewery,96,2012
 LowDown Brewery + Kitchen,Denver_Colorado_opened,Brewpub/Brewery,59,2014
 LUKI Brewery,Arvada_Colorado_opened,Microbrewery,6,2020
 Lumpy Ridge Brewing Company,Estes Park_Colorado_opened,Brewpub,24,2015
 Mad Jack's Mountain Brewery,Bailey_Colorado_opened,Microbrewery,19,2016
 Mad Russian Brewing Company,Olathe_Colorado_opened,Microbrewery,6,2020
 Mahogany Ridge Brewery & Grille,Steamboat Springs_Colorado_opened,Brewpub,24,2003
 Major Hemp,Colorado Springs_Colorado_opened,Client Brewer,1,2019
 Mancos Brewing Company,Mancos_Colorado_opened,Brewpub/Brewery,8,2014
 Manitou Brewing Company,Manitou Springs_Colorado_opened,Brewpub,73,2014
 Many Rivers Brewing Company,Grand Junction_Colorado_opened,Client Brewer,2,2018
 Mash Lab Brewing,Windsor_Colorado_opened,Microbrewery,23,2017
 Maxline Brewing,Fort Collins_Colorado_opened,Microbrewery,23,2016
 McClellan's Brewing Company,Fort Collins_Colorado_opened,Brewpub/Brewery,14,2016
 Mesa Cerveza / Main Street Brewing,Cortez_Colorado_opened,Brewpub,19,1995
 Metric Brewing,Colorado Springs_Colorado_opened,Microbrewery,10,2018
 Mighty River Brewing Company,Windsor_Colorado_opened,Microbrewery,5,2018
 Mirror Image Brewing Company,Frederick_Colorado_opened,Microbrewery,5,2020
 Mockery Brewing,Denver_Colorado_opened,Microbrewery,161,2014
 Moffat Station Restaurant & Brewery,Winter Park_Colorado_opened,Brewpub,7,2002
 Moonlight Pizza and Brewpub,Salida_Colorado_opened,Brewpub,32,2012
 Mossdeep Brewing Company,Boulder_Colorado_opened,Microbrewery,1,2020
 Mother Tucker Brewery,Thornton_Colorado_opened,Microbrewery,25,2017
 Mountain Cowboy Brewing Company,Frederick_Colorado_opened,Commercial Brewery,19,2018
 Mountain Sun Pub & Brewery,Boulder_Colorado_opened,Brewpub,262,2001
 Mountain Tap Brewery,Steamboat Springs_Colorado_opened,Brewpub,19,2016
 Mountain Toad Brewing,Golden_Colorado_opened,Microbrewery,56,2013
 Mr Grumpy Pants Brewing Company @ Ourayle House,Ouray_Colorado_opened,Brewpub,13,2009
 Nano 108 Brewing Company,Colorado Springs_Colorado_opened,Microbrewery,68,2013
 Never Summer Brewing Company,Granby_Colorado_opened,Microbrewery,15,2016
 New Belgium Brewing Company (Lion Co. - Kirin Holdings),Fort Collins_Colorado_opened,Commercial Brewery,400,1991
 New Image Brewing Company,Arvada_Colorado_opened,Microbrewery,171,2016
 New Planet Beer Company,Boulder_Colorado_opened,Client Brewer,8,2009
 New Terrain Brewing Company,Golden_Colorado_opened,Microbrewery,49,2015
 Next Stop Brew Co.,Denver_Colorado_opened,Microbrewery,56,2017
 Novel Strand Brewing Company,Denver_Colorado_opened,Microbrewery,95,2018
 Oasis Brewing Company,Denver_Colorado_opened,Microbrewery,20,2015
 Odd13 Brewing,Lafayette_Colorado_opened,Brewpub,186,2013
 Odell Brewing Company,Fort Collins_Colorado_opened,Microbrewery,697,1989
 Odyssey Beerwerks,Arvada_Colorado_opened,Microbrewery,110,2013
 Ohm Brewing Company,Golden_Colorado_opened,Microbrewery,11,2019
 Old 121 Brewhouse,Lakewood_Colorado_opened,Microbrewery,16,2019
 Old Colorado Brewing Company,Wellington_Colorado_opened,Microbrewery,27,2016
 Oskar Blues Brewery (CANarchy Craft Brewery Collective),Longmont_Colorado_opened,Microbrewery,379,1997
 Our Mutual Friend Brewing Co.,Denver_Colorado_opened,Brewpub/Brewery,222,2012
 Ouray Brewery,Ouray_Colorado_opened,Brewpub/Brewery,47,2010
 Outer Range Brewing,Frisco_Colorado_opened,Microbrewery,204,2017
 Over Yonder Brewing,Golden_Colorado_opened,Microbrewery,20,2019
 Pagosa Brewing Company,Pagosa Springs_Colorado_opened,Brewpub,55,2006
 Palisade Brewing Company,Palisade_Colorado_opened,Microbrewery,32,2010
 Paradox Beer Company,Divide_Colorado_opened,Microbrewery,159,2012
 Parts & Labor Brewing Company,Sterling_Colorado_opened,Brewpub,13,2017
 Pat's Backcountry Beverages,Golden_Colorado_opened,Microbrewery,2,2015
 PDub Brewing Company,Pueblo West_Colorado_opened,Brewpub/Brewery,26,2017
 Peak to Peak Tap and Brew,Aurora_Colorado_opened,Brewpub/Brewery,38,2017
 Peak View Brewing Company,Greenwood Village_Colorado_opened,Microbrewery,40,2019
 Peaks N Pines Brewing Company,Colorado Springs_Colorado_opened,Microbrewery,24,2015
 Phantom Canyon Brewing,Colorado Springs_Colorado_opened,Brewpub/Brewery,210,2000
 Pikes Peak Brewing Company,Monument_Colorado_opened,Microbrewery,72,2011
 Pints Pub Brewery & Freehouse,Denver_Colorado_opened,Brewpub,11,2002
